ts_unix,global_step,phase,reward,success_rate,proof_validity,nodes_per_query,edges_per_query
1786639946.7482276,3124976,jetson_specialization,0.38462435399334427,0.5,0.5,11.25,102.625
1786639947.3288267,3124992,jetson_specialization,0.19459199457273985,0.4375,0.4375,15.625,84.8125
1786639947.9417477,3125008,jetson_specialization,0.7401713445504225,0.625,0.625,33.375,530.9375
1786639948.5395422,3125024,jetson_specialization,0.7454853031843615,0.625,0.625,18.0625,54.9375
1786639949.0921435,3125040,jetson_specialization,-0.007127534210623343,0.375,0.375,40.25,136.0625
1786639949.7009284,3125056,jetson_specialization,0.9266593271634683,0.6875,0.6875,24.5625,426.4375
1786639950.3169682,3125072,jetson_specialization,0.7381338305924806,0.625,0.625,25.5625,195.9375
1786639950.9056926,3125088,jetson_specialization,0.757792338101365,0.625,0.625,16.375,107.5
1786639951.4905274,3125104,jetson_specialization,0.9332143741825448,0.6875,0.6875,27.0,116.5625
1786639952.0846162,3125120,jetson_specialization,0.5537104007577678,0.5625,0.5625,31.5,914.5
1786639952.681685,3125136,jetson_specialization,0.5435405473181217,0.5625,0.5625,39.25,505.6875
1786639953.2507524,3125152,jetson_specialization,0.38492977359332475,0.5,0.5,13.4375,106.375
1786639953.8661027,3125168,jetson_specialization,0.38858924078826,0.5,0.5,6.5,31.0625
1786639954.488083,3125184,jetson_specialization,1.1297888762290302,0.75,0.75,7.875,34.3125
1786639955.1099837,3125200,jetson_specialization,0.7365598307475858,0.625,0.625,32.8125,1086.4375
1786639955.677013,3125216,jetson_specialization,0.19864953883176478,0.4375,0.4375,13.0625,43.0
1786639956.2634144,3125232,jetson_specialization,0.5507646975056334,0.5625,0.5625,34.5,476.4375
1786639956.856049,3125248,jetson_specialization,0.9497643237961981,0.6875,0.6875,9.4375,85.5625
1786639957.4190438,3125264,jetson_specialization,0.02023302843401875,0.375,0.375,6.3125,54.0
1786639958.0752444,3125280,jetson_specialization,1.0865089791657754,0.75,0.75,58.875,1185.25
1786639958.6882305,3125296,jetson_specialization,-0.17997497524765563,0.375,0.375,202.9375,1127.375
1786639959.2850943,3125312,jetson_specialization,0.18105949470030858,0.4375,0.4375,29.0625,1053.125
1786639959.8909864,3125328,jetson_specialization,0.8876050940008473,0.6875,0.6875,76.625,1420.125
1786639960.440455,3125344,jetson_specialization,-0.35610931750302444,0.25,0.25,9.375,59.0625
1786639961.0583613,3125360,jetson_specialization,1.1159601708156177,0.75,0.75,25.9375,893.0
1786639961.7149265,3125376,jetson_specialization,0.7448272214376366,0.625,0.625,28.6875,288.75
1786639962.3583143,3125392,jetson_specialization,0.5463101439768923,0.5625,0.5625,33.1875,1044.375
1786639962.915275,3125408,jetson_specialization,0.3685727169718698,0.5,0.5,32.4375,143.9375
1786639963.4732077,3125424,jetson_specialization,0.3932906138481178,0.5,0.5,11.5625,35.0625
1786639964.0591462,3125440,jetson_specialization,0.9352087108311207,0.6875,0.6875,21.8125,89.75
1786639964.6936371,3125456,jetson_specialization,0.5404610510723721,0.5625,0.5625,41.5,1122.625
1786639965.2693224,3125472,jetson_specialization,0.5575160152080862,0.5625,0.5625,33.5,589.4375
1786639965.845089,3125488,jetson_specialization,0.5784461725602077,0.5625,0.5625,7.25,23.4375
1786639966.4171996,3125504,jetson_specialization,0.3826205801967938,0.5,0.5,12.625,175.75
1786639967.0272357,3125520,jetson_specialization,0.36793438976898707,0.5,0.5,31.375,121.0625
1786639967.5734873,3125536,jetson_specialization,-0.16224790043587584,0.3125,0.3125,6.125,24.8125
1786639968.1809447,3125552,jetson_specialization,-0.08822662134672538,0.375,0.375,115.0,739.125
1786639968.8250942,3125568,jetson_specialization,0.6200610266601971,0.625,0.625,149.5625,655.75
1786639969.4156375,3125584,jetson_specialization,0.7680715454728154,0.625,0.625,7.6875,32.0625
1786639969.9929585,3125600,jetson_specialization,0.57751857774436,0.5625,0.5625,9.875,286.1875
1786639970.6417904,3125616,jetson_specialization,0.049661561790053974,0.4375,0.4375,165.5625,1300.8125
1786639971.2684417,3125632,jetson_specialization,0.5685025061154687,0.5625,0.5625,15.0,73.375
1786639971.8490465,3125648,jetson_specialization,-0.3903759143026546,0.25,0.25,45.375,360.375
1786639972.4698474,3125664,jetson_specialization,0.746634192203683,0.625,0.625,29.4375,1188.3125
1786639973.042117,3125680,jetson_specialization,0.3756721532085867,0.5,0.5,20.1875,53.875
1786639973.6394076,3125696,jetson_specialization,-0.2453264983606184,0.375,0.375,269.75,920.625
1786639974.2634811,3125712,jetson_specialization,0.7221244214435605,0.625,0.625,42.375,410.25
1786639974.834745,3125728,jetson_specialization,0.37693015802516167,0.5,0.5,19.8125,50.375
1786639975.398403,3125744,jetson_specialization,0.3941527326154427,0.5,0.5,10.6875,75.1875
1786639976.006264,3125760,jetson_specialization,1.1372625815651358,0.75,0.75,9.25,53.5
1786639976.6464336,3125776,jetson_specialization,0.6960718258159115,0.625,0.625,76.0,2037.5
1786639977.2033558,3125792,jetson_specialization,0.20542200965532223,0.4375,0.4375,11.125,239.3125
1786639977.7868059,3125808,jetson_specialization,0.7485912939324966,0.625,0.625,28.875,1060.4375
